guid:0xF045F8C76BBDBC4E time: Thu Jul 01 11:52:38 2010  severity:5 type:2 app:net.rim.browserpush data:Ppns
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:38 2010  severity:5 type:2 app:CC data:GetLines[1]
guid:0xFBED62F0FCC4B0EA time: Thu Jul 01 11:52:38 2010  severity:0 type:2 app:Geolocation data:Sync will occur in 5 min
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:38 2010  severity:5 type:2 app:CC data:GetLines[1]
guid:0xDDA0BC913B6AAEEC time: Thu Jul 01 11:52:38 2010  severity:0 type:2 app:PhoneApp data:SSMgr CFU = false
guid:0x5869CC572B2B7053 time: Thu Jul 01 11:52:38 2010  severity:0 type:2 app:net.rim.appcenter data:SSrv UID GPMDSEU01 Type 1
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:CC data:LineChanged,1
guid:0xC1A90F9B4F904C57 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:App Perms data:d SheetToGo47:13
guid:0xC1A90F9B4F904C57 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:App Perms data:d WordToGo47:13
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:CC data:GetLine,-1,1
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:CC data:GetLines[1]
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:CC data:GetLineNumber,1,"null"
guid:0xF045F8C76BBDBC4E time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.browserpush data:Ppda
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:CC data:GetNumber,0,"null"
guid:0x97C9F5F641D25E5F time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:System data:Process net_rim_bb_lib(177) queue overflow; oldest event dropped
guid:0x3656909D38609B2A time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:Key Store Manager data:CPwS
guid:0x646E9F884851A306 time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:net.rim.vad32 data:USEV 0x6aa
guid:0xF045F8C76BBDBC4E time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.browserpush data:Ppda
guid:0x40201E6E4F7246BE time: Thu Jul 01 11:52:39 2010  severity:4 type:2 app:net.rim.vpn data:Wait-logged out
guid:0x646E9F884851A306 time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:net.rim.vad32 data:UHVE 0x6aa
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.wlan.scan data:Wait-idle
guid:0x3656909D38609B2A time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:Key Store Manager data:CPwF
guid:0x223F4E92C3F46135 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.wlan.scan.discovery data:Wait-idle
guid:0x5D41D4729582C2DA time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:RootRegister data:usbConnectionStateChange:4
guid:0xDAA64EAD4E49C5D5 time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:net.rim.usb.pwd data:CbDs
guid:0x5D41D4729582C2DA time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:RootRegister data:Switch Mode to MS on disconnect
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.wlan.scan data:Evnt-mode
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:CC data:GetLines[1]
guid:0x631E5BCD6DC16354 time: Thu Jul 01 11:52:39 2010  severity:4 type:2 app:net.rim.sms data:UCti
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.wlan.scan data:Actn-init
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.wlan.scan data:Wait-delay
guid:0x5D41D4729582C2DA time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:RootRegister data:EXPANSION_INSERTED
guid:0x5D41D4729582C2DA time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:RootRegister data:UMT1
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:CC data:GetNumber,0,"null"
guid:0x72BC2218B0A6112D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.deviceagent data:UPDO   67108864
